study.ID,study,species,treatment,control,N,n,turbine.kW,n.turbines,duration.yrs
1,"De Lucas, M., Janss, G.F.E & Ferrer, M. (2004). The effects of a wind farm on birds in a migration point: the Strait of Gibraltar. Biodiversity and Conservation 13(2): 395-407. ",Falco tinnunculus ,0.6,0.62,40,1112,116,86,2
1,"De Lucas, M., Janss, G.F.E & Ferrer, M. (2004). The effects of a wind farm on birds in a migration point: the Strait of Gibraltar. Biodiversity and Conservation 13(2): 395-407. ",Circaetus gallicus ,0.92,0.72,40,1112,116,86,2
1,"De Lucas, M., Janss, G.F.E & Ferrer, M. (2004). The effects of a wind farm on birds in a migration point: the Strait of Gibraltar. Biodiversity and Conservation 13(2): 395-407. ",Passeriformes ,8.5,69,40,1112,116,86,2
1,"De Lucas, M., Janss, G.F.E & Ferrer, M. (2004). The effects of a wind farm on birds in a migration point: the Strait of Gibraltar. Biodiversity and Conservation 13(2): 395-407. ",Gyps fulvus ,8.88,5.23,40,1112,116,86,2
1,"De Lucas, M., Janss, G.F.E & Ferrer, M. (2004). The effects of a wind farm on birds in a migration point: the Strait of Gibraltar. Biodiversity and Conservation 13(2): 395-407. ",Milvus migrans ,25.94,34.43,40,1112,116,86,2
2,"Guillemette, M., Larsen, J.K. & Clausager, I. (1998) Impact assessment of an off-shore wind park on sea ducks. Neri Technical report no 227.",Melanitta nigra ,7,0.00001,40,2134,500,10,2
2,"Guillemette, M., Larsen, J.K. & Clausager, I. (1998) Impact assessment of an off-shore wind park on sea ducks. Neri Technical report no 227.",Somateria mollissima ,458,1958,40,1821,500,10,2
3,"Hunt, W. G., et al (1995). A pilot golden eagle population study in the Altamont Pass wind resource area, California. Santa Cruz, Predatory Bird Research Group, University of California.",Aquila chrysaetos ,0.08,0.18,40,18,85,6500,12
3,"Hunt, W. G., et al (1995). A pilot golden eagle population study in the Altamont Pass wind resource area, California. Santa Cruz, Predatory Bird Research Group, University of California.",Aquila chrysaetos ,0.09,0.19,40,18,85,6500,12
4,"Johnson, G. D., Erickson, W.P, Strickland, M.D., Shepherd, M.F. & Shepherd, D.A. (2000). Avian monitoring studies at the Buffalo Ridge Wind Resource Area, Minnesota: Results of a 4-year study. Technical Report prepared for Northern States Power Co., Minneapolis.","Haliaeetus	a",0.00001,0.00001,16,30,750,73,3
4,"Johnson, G. D., Erickson, W.P, Strickland, M.D., Shepherd, M.F. & Shepherd, D.A. (2000). Avian monitoring studies at the Buffalo Ridge Wind Resource Area, Minnesota: Results of a 4-year study. Technical Report prepared for Northern States Power Co., Minneapolis.","Mergus	merganser",0.00001,0.01,16,30,750,73,3
4,"Johnson, G. D., Erickson, W.P, Strickland, M.D., Shepherd, M.F. & Shepherd, D.A. (2000). Avian monitoring studies at the Buffalo Ridge Wind Resource Area, Minnesota: Results of a 4-year study. Technical Report prepared for Northern States Power Co., Minneapolis.","Anas	crecca",0.00001,0.01,16,30,750,73,3
4,"Johnson, G. D., Erickson, W.P, Strickland, M.D., Shepherd, M.F. & Shepherd, D.A. (2000). Avian monitoring studies at the Buffalo Ridge Wind Resource Area, Minnesota: Results of a 4-year study. Technical Report prepared for Northern States Power Co., Minneapolis.","Fulica	americana",0.00001,0.01,16,30,750,73,3
4,"Johnson, G. D., Erickson, W.P, Strickland, M.D., Shepherd, M.F. & Shepherd, D.A. (2000). Avian monitoring studies at the Buffalo Ridge Wind Resource Area, Minnesota: Results of a 4-year study. Technical Report prepared for Northern States Power Co., Minneapolis.","Tringa	melanoleuca",0.00001,0.01,16,30,750,73,3
4,"Johnson, G. D., Erickson, W.P, Strickland, M.D., Shepherd, M.F. & Shepherd, D.A. (2000). Avian monitoring studies at the Buffalo Ridge Wind Resource Area, Minnesota: Results of a 4-year study. Technical Report prepared for Northern States Power Co., Minneapolis.","Accipiter	striatus",0.00001,0.01,16,30,750,73,3
4,"Johnson, G. D., Erickson, W.P, Strickland, M.D., Shepherd, M.F. & Shepherd, D.A. (2000). Avian monitoring studies at the Buffalo Ridge Wind Resource Area, Minnesota: Results of a 4-year study. Technical Report prepared for Northern States Power Co., Minneapolis.","Accipiter	cooperii",0.00001,0.01,16,30,750,73,3
4,"Johnson, G. D., Erickson, W.P, Strickland, M.D., Shepherd, M.F. & Shepherd, D.A. (2000). Avian monitoring studies at the Buffalo Ridge Wind Resource Area, Minnesota: Results of a 4-year study. Technical Report prepared for Northern States Power Co., Minneapolis.","Buteo	lagopus",0.00001,0.01,16,30,750,73,3
4,"Johnson, G. D., Erickson, W.P, Strickland, M.D., Shepherd, M.F. & Shepherd, D.A. (2000). Avian monitoring studies at the Buffalo Ridge Wind Resource Area, Minnesota: Results of a 4-year study. Technical Report prepared for Northern States Power Co., Minneapolis.","Falco	columbarius",0.00001,0.01,16,30,750,73,3
4,"Johnson, G. D., Erickson, W.P, Strickland, M.D., Shepherd, M.F. & Shepherd, D.A. (2000). Avian monitoring studies at the Buffalo Ridge Wind Resource Area, Minnesota: Results of a 4-year study. Technical Report prepared for Northern States Power Co., Minneapolis.","Sayornis	phoebe",0.00001,0.01,16,30,750,73,3
4,"Johnson, G. D., Erickson, W.P, Strickland, M.D., Shepherd, M.F. & Shepherd, D.A. (2000). Avian monitoring studies at the Buffalo Ridge Wind Resource Area, Minnesota: Results of a 4-year study. Technical Report prepared for Northern States Power Co., Minneapolis.",Sitta carolinensis,0.00001,0.01,16,30,750,73,3
4,"Johnson, G. D., Erickson, W.P, Strickland, M.D., Shepherd, M.F. & Shepherd, D.A. (2000). Avian monitoring studies at the Buffalo Ridge Wind Resource Area, Minnesota: Results of a 4-year study. Technical Report prepared for Northern States Power Co., Minneapolis.",Piranga olivacea,0.00001,0.01,16,30,750,73,3
